log_id,timestamp_iso,coder_id,run_id,dictionary_version,tagset_version,export_version,igo,attribute_code_before,indicator_id_before,attribute_code_after,indicator_id_after,evidence_tier,doc_family_inferred,source_title,source_type,source_scope,article_section_page,source_uri,trigger_term,excerpt_<=50w,coder_action,retained_in_longfile,decision_rationale,review_note,trace_key,retrieval_set,attribute_code_final,coder_action_std,tfidf_cosine,retrieval_method
AT-P2-0000017,2024-11-02T19:39:57Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),DO,—,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,"Convention on the Law of the Sea (UNCLOS), which provides the legal basis for its activities related to the oceans and coastal areas ((https://www",Convention,—,Article s,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,mandate,"of the Sea (UNCLOS), which provides the legal basis for its activities related to the oceans and coastal areas ((https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf) ). The IOC’s mandate is also supported by the UN General Assembly resolution A/RES/72/73 proclaiing the United Nations Decade of Ocean Science for Sustainable Development 2021–2030 (https://documents.un.org/doc/undoc/gen/n17/421/90/pdf/n1742190.pdf?token=kneHbLVHaUpcHqGOQg&fe=trueby).",Re-tag,Yes,Machine-surfaced excerpt required re-assignment after contextual reading; coding placed under the attribute that matches the indicator definition (Table XX) and matrix narrative.,Re-tagged from DO/SJ candidate set: excerpt provides legal basis/article authority enabling jurisdiction; retained under SoJ.,1a0eb7326bfb05df551bb65b1b5bdae944cc2e5a,attributes,SoJ,RETAG,0.01671732598245181,regex + TF-IDF cosine (ranking)
AT-P2-0000018,2024-11-02T23:59:36Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SJ,IND_SJ_SCOPE,SJ,IND_SJ_SCOPE,Definition/Identification,Other/unclear,En).,Unspecified (see source_title/source_uri),—,—,—,territorial sea,"Spatial jurisdiction: geographic scope where the IGO’s mandate applies (e.g., global oceans, ABNJ/high seas, defined zones).",Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,5c0a11bf72a176f985ed79c61bc17f158190c8c3,attributes,SJ,ACCEPT,0.5159752403933976,regex + TF-IDF cosine (ranking)
AT-P2-0000019,2024-11-03T00:00:36Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SJ,IND_SJ_SCOPE,SJ,IND_SJ_SCOPE,Explanation/Elaboration,Other/unclear,En).,Unspecified (see source_title/source_uri),—,—,—,territorial sea,"IOC jurisdiction is global delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs (https://www.ioc.unesco.org/en).",Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,25222676d1d8a0302f055fdd5cfdc9bde5498849,attributes,SJ,ACCEPT,0.04275625000920083,regex + TF-IDF cosine (ranking)
AT-P2-0000020,2024-11-03T00:01:36Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SJ,IND_SJ_SCOPE,SJ,IND_SJ_SCOPE,Substantiation/References,Other/unclear,En).,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://www.ioc.unesco.org/en).,territorial sea,"IOC jurisdiction is global delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs (https://www.ioc.unesco.org/en).",Accept,Yes,Relevant to indicator; retained after contextual read-through.,External portal evidence: SJ coded from explicit EEZ/territorial language (Not specified (see narrative/citations in cell text)); retained for spatial scope.,5ff2d0b59ec5ab5b285984f073d9f4a352d5e60d,attributes,SJ,ACCEPT,0.04275625000920083,regex + TF-IDF cosine (ranking)
AT-P2-0000021,2024-11-03T00:37:05Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,"Convention on the Law of the Sea (UNCLOS), which provides the legal basis for its activities related to the oceans and coastal areas ((https://www",Convention,—,Article s,https://documents.un.org/doc/undoc/gen/n17/421/90/pdf/n1742190.pdf?token=kneHbLVHaUpcHqGOQg&fe=trueby,mandate,"The IOC’s authority is derived from its statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​. The IOC derives its authority from the United Nations Educational, Scientific and Cultural Organization (UNESCO)'s constitution (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf) . Specifically, the IOC was established",Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: legal basis clause captured (Article s); coded as SoJ with citation anchor where available.,fe9673a574ba5701a67fd1037526490e36f7b1e5,attributes,SoJ,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000022,2024-11-03T10:31:21Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),DO,IND_DO_OBJECTIVES,DO,IND_DO_OBJECTIVES,Substantiation/References,Foundational legal instrument,"statutes, include to: advance the scientific understanding of the nature and resources of the oceans (Article 2, Paragraph a)",Statute/Charter,—,Article s,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf,objective,"The objectives of the Intergovernmental Oceanographic Commission (IOC), as per Articles 2 and 3 of its statutes, include to: advance the scientific understanding of the nature and resources of the oceans (Article 2, Paragraph a); improve the effectiveness of oceanographic methodologies and techniques (Article 2, Paragraph b); promote and facilitate",Accept,Yes,Meets indicator definition; provenance captured for reconstruction.,Founding instrument evidence: goal language located (Article s); retained for DO with provenance.,442c74fce8501542ffa748f38a03e11f23e34c9d,attributes,DO,ACCEPT,0.01724244578822154,regex + TF-IDF cosine (ranking)
AT-P2-0000023,2024-11-03T19:30:25Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SMJ,IND_SMJ_DOMAIN,SMJ,IND_SMJ_DOMAIN,Definition/Identification,Other/unclear,En).,Unspecified (see source_title/source_uri),—,—,—,climate,Subject‑matter jurisdiction: functional/issue remit over which the IGO is authorised to act (ocean‑economy relevant domains).,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,2ade465db95efa5f2eddc5943954a26a3a3d75fa,attributes,SMJ,ACCEPT,0.33355693409956827,regex + TF-IDF cosine (ranking)
AT-P2-0000024,2024-11-03T19:31:25Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SMJ,IND_SMJ_DOMAIN,SMJ,IND_SMJ_DOMAIN,Explanation/Elaboration,Other/unclear,En).,Unspecified (see source_title/source_uri),—,—,—,climate,"The IOC's subject matter jurisdiction encompasses global ocean observation and data exchange, marine scientific research, and capacity development to improve management, decision-making, and sustainability of the marine environment. This includes overseeing the implementation of international programs like the Global Ocean Observing System, promoting marine spatial planning, and supporting the application",Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,bdca3cedbb870e38b4bea2ebdca885a723dfe2dd,attributes,SMJ,ACCEPT,0.09156059223865178,regex + TF-IDF cosine (ranking)
AT-P2-0000025,2024-11-03T19:32:25Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SMJ,IND_SMJ_DOMAIN,SMJ,IND_SMJ_DOMAIN,Substantiation/References,Other/unclear,En).,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://www.ioc.unesco.org/en).,climate,"The IOC's subject matter jurisdiction encompasses global ocean observation and data exchange, marine scientific research, and capacity development to improve management, decision-making, and sustainability of the marine environment. This includes overseeing the implementation of international programs like the Global Ocean Observing System, promoting marine spatial planning, and supporting the application",Accept,Yes,Relevant to indicator; retained after contextual read-through.,External portal evidence: SMJ coded as issue-domain descriptor (marine/ocean (general)) (Not specified (see narrative/citations in cell text)); separated from governance constructs.,f5df9d72495bbf3ff8c13f7ea380aa0d85aea059,attributes,SMJ,ACCEPT,0.09156059223865178,regex + TF-IDF cosine (ranking)
AT-P2-0000026,2024-11-03T20:25:38Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Pf0000381388.Locale=En,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en,strategic plan,"series of strategic measues including, the Medium-Term Strategy 2022-2029 approved by the b IOC Assembly and Executive Council meetings (https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en), providing a roadmap for its goals and activities. Secondly, the IOC’s actions are guided by decisions made during the annual Assembly, which sets the direction for the organization’s work and",Accept,Yes,Checked for construct fit; retained with source pointer.,"External portal evidence: strategy/implementation language captured (Not specified (see narrative/citations in cell text)); retained under STR, tagged 'mixed strategy references'.",0bd9c656e15b6fb0de936ab3d36911fb82dff119,attributes,STR,ACCEPT,0.019936090768097936,regex + TF-IDF cosine (ranking)
AT-P2-0000027,2024-11-04T01:22:46Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Pf0000381388.Locale=En,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000377082,strategic plan,"sets the direction for the organization’s work and strategic focus. The current focus includes the Ocean Decade Implementation Plan (https://unesdoc.unesco.org/ark:/48223/pf0000377082), which aims to generate the science needed for a sustainable ocean. Additionally, key strategic decisions are made biennially at IOC Assembly meetings and annually at Executive Council meetings, including the",Accept,Yes,Checked for construct fit; retained with source pointer.,External portal evidence: operational instrument referenced (Not specified (see narrative/citations in cell text)); coded as STR (data/knowledge services) for comparable scoring.,2626af06428a06b5a954dedbf1fe97cc0d15c493,attributes,STR,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000028,2024-11-04T06:19:54Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Pf0000381388.Locale=En,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000375020,strategic plan,"the IOC develops biennial budgets and work plans that detail activities, outputs, indicators, and resources for each strategic objective (https://unesdoc.unesco.org/ark:/48223/pf0000375020). These are tailored to the needs of the Member States and the priorities of the global oceanographic community. Significantly, the IOC is tasked by the United Nations General Assembly with",Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,External portal evidence: operational instrument referenced (Not specified (see narrative/citations in cell text)); coded as STR (mixed strategy references) for comparable scoring.,8bb447d40f60f2cb6b9cdeaf09c1aa5764a08956,attributes,STR,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000029,2024-11-04T11:17:02Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Pf0000381388.Locale=En,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000381488,strategic plan,"IOC implements its objectives through series of strategic measues including, the Medium-Term Strategy 2022-2029 approved by the b IOC Assembly and Executive Council meetings (https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en), providing a roadmap for its goals and activities. Secondly, the IOC’s actions are guided by decisions made during the annual Assembly, which sets the direction",Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,External portal evidence: strategy instrument evidence captured (Not specified (see narrative/citations in cell text)); classified to 'mixed strategy references' family for STR.,bcd59d2935cc8ac763abeac95611ca9093cba947,attributes,STR,ACCEPT,0.019415904885556882,regex + TF-IDF cosine (ranking)
AT-P2-0000030,2024-11-04T15:01:13Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Definition/Identification,Foundational legal instrument,"statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​",Statute/Charter,—,—,—,mandate,Source of jurisdiction: formal legal basis enabling authority (treaty/charter article(s) or constitutive resolution reference).,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,fb86584bf111bed5eb0d1f68a8a8af67090d5695,attributes,SoJ,ACCEPT,0.1882383021346278,regex + TF-IDF cosine (ranking)
AT-P2-0000031,2024-11-04T15:02:13Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Explanation/Elaboration,Foundational legal instrument,"statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​",Statute/Charter,—,—,—,mandate,"The IOC’s authority is derived from its statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​. The IOC derives its authority from the United Nations Educational, Scientific and Cultural Organization (UNESCO)'s constitution (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf) . Specifically, the IOC was established",Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,f6fc719fda8cbfb20daae0ea9fc2ab0941538303,attributes,SoJ,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000032,2024-11-04T15:03:13Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,"statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​",Statute/Charter,—,Articles,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf),mandate,"The IOC’s authority is derived from its statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​. The IOC derives its authority from the United Nations Educational, Scientific and Cultural Organization (UNESCO)'s constitution (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf) . Specifically, the IOC was established",Accept,Yes,Checked for construct fit; retained with source pointer.,Founding instrument evidence: legal basis clause captured (Articles); coded as SoJ with citation anchor where available.,175c822fcc8fcf539559deaef68b74b8159d64eb,attributes,SoJ,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000033,2024-11-04T21:09:19Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),IIR,IND_IIR_RELATIONS,IIR,IND_IIR_RELATIONS,Definition/Identification,Foundational legal instrument,statutes ((https://treaties,Statute/Charter,—,—,—,MoU,"Inter‑institutional relationships: formalised cooperation with other bodies (e.g., MoUs, joint programmes, agreements; partner type × mechanism × year).",Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,196af4f2ac20c5442e5648ac9a741a14c71ddb24,attributes,IIR,ACCEPT,0.28103076514017183,regex + TF-IDF cosine (ranking)
AT-P2-0000034,2024-11-04T21:10:19Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),IIR,IND_IIR_RELATIONS,IIR,IND_IIR_RELATIONS,Explanation/Elaboration,Foundational legal instrument,statutes ((https://treaties,Statute/Charter,—,—,—,MoU,"IOC collaborates with UN specialized agencies and international organizations related to marine sciences. It acts as a joint mechanism for UN organizations in marine science fields, fostering cooperation and ensuring that its requirements are considered in their programs​​. The IIOC fosters relationships with various institutions to support its mission. It",Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,83ff7ce4a446362e39982995d5c1a1f1f265f458,attributes,IIR,ACCEPT,0.018964933499752486,regex + TF-IDF cosine (ranking)
AT-P2-0000035,2024-11-04T21:11:19Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),IIR,IND_IIR_RELATIONS,IIR,IND_IIR_RELATIONS,Substantiation/References,Foundational legal instrument,statutes ((https://treaties,Statute/Charter,—,Article 1-10,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf,MoU,"UNESCO, as the IOC functions as a specialized agency within UNESCO, detailed in Article 1-10 of the IOC’s statutes ((https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf)). The IOC also partners with the World Meteorological Organization (WMO) to advance global oceanographic and atmospheric research, as outlined in the collaborative agreement between the two entities (https://unesdoc.unesco.org/ark:/48223/pf0000369984). Furthermore, the",Accept,Yes,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: inter-institutional relationship evidenced (Article 1-10); partner/mechanism details logged where stated.,427fafaac283990d0f6313a3f1fdb63362b97302,attributes,IIR,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
