igo,attribute_code_final,n_evidence_records,n_unique_sources,n_tier_definition,n_tier_explanation,n_tier_substantiation,is_missing_cell
Food and Agriculture Organization of the United Nations (FAO),STR,10,2,1,1,8,False
Food and Agriculture Organization of the United Nations (FAO),SoJ,7,2,1,1,5,False
Food and Agriculture Organization of the United Nations (FAO),VC,10,8,1,1,8,False
Food and Agriculture Organization of the United Nations (FAO),YE,4,2,1,1,2,False
IPCC,DO,4,2,1,1,2,False
IPCC,HC,16,13,1,1,14,False
IPCC,IIR,7,1,1,1,5,False
IPCC,SCL,4,2,1,1,2,False
IPCC,SJ,3,1,1,1,1,False
IPCC,SMJ,3,1,1,1,1,False
IPCC,STR,9,2,1,1,7,False
IPCC,SoJ,9,2,1,1,7,False
IPCC,VC,10,8,1,1,8,False
IPCC,YE,4,2,1,1,2,False
Intergovernmental Oceanographic Commission (IOC),DO,4,1,1,1,2,False
Intergovernmental Oceanographic Commission (IOC),HC,9,7,1,1,7,False
Intergovernmental Oceanographic Commission (IOC),IIR,11,1,1,1,9,False
Intergovernmental Oceanographic Commission (IOC),SCL,4,2,1,1,2,False
Intergovernmental Oceanographic Commission (IOC),SJ,3,1,1,1,1,False
Intergovernmental Oceanographic Commission (IOC),SMJ,3,1,1,1,1,False
Intergovernmental Oceanographic Commission (IOC),STR,7,2,1,1,5,False
Intergovernmental Oceanographic Commission (IOC),SoJ,7,2,1,1,5,False
Intergovernmental Oceanographic Commission (IOC),VC,11,9,1,1,9,False
Intergovernmental Oceanographic Commission (IOC),YE,4,2,1,1,2,False
International Atomic Energy Agency (IAEA),DO,5,1,1,1,3,False
International Atomic Energy Agency (IAEA),HC,16,14,1,1,14,False
International Atomic Energy Agency (IAEA),IIR,8,1,1,1,6,False
International Atomic Energy Agency (IAEA),SCL,4,2,1,1,2,False
International Atomic Energy Agency (IAEA),SJ,3,1,1,1,1,False
International Atomic Energy Agency (IAEA),SMJ,3,1,1,1,1,False
International Atomic Energy Agency (IAEA),STR,8,2,1,1,6,False
International Atomic Energy Agency (IAEA),SoJ,7,2,1,1,5,False
International Atomic Energy Agency (IAEA),VC,12,9,1,1,10,False
International Atomic Energy Agency (IAEA),YE,4,2,1,1,2,False
International Council for the Exploration of the Sea (ICES),DO,4,1,1,1,2,False
International Council for the Exploration of the Sea (ICES),HC,8,6,1,1,6,False
International Council for the Exploration of the Sea (ICES),IIR,5,1,1,1,3,False
International Council for the Exploration of the Sea (ICES),SCL,4,2,1,1,2,False
International Council for the Exploration of the Sea (ICES),SJ,3,1,1,1,1,False
International Council for the Exploration of the Sea (ICES),SMJ,3,1,1,1,1,False
International Council for the Exploration of the Sea (ICES),STR,10,2,1,1,8,False
International Council for the Exploration of the Sea (ICES),SoJ,6,1,1,1,4,False
International Council for the Exploration of the Sea (ICES),VC,5,3,1,1,3,False
International Council for the Exploration of the Sea (ICES),YE,4,2,1,1,2,False
International Fund for Agricultural Development (IFAD),DO,5,1,1,1,3,False
International Fund for Agricultural Development (IFAD),HC,15,13,1,1,13,False
International Fund for Agricultural Development (IFAD),IIR,7,1,1,1,5,False
International Fund for Agricultural Development (IFAD),SCL,4,2,1,1,2,False
International Fund for Agricultural Development (IFAD),SJ,3,1,1,1,1,False
International Fund for Agricultural Development (IFAD),SMJ,3,1,1,1,1,False
International Fund for Agricultural Development (IFAD),STR,9,1,1,1,7,False
International Fund for Agricultural Development (IFAD),SoJ,7,1,1,1,5,False
International Fund for Agricultural Development (IFAD),VC,11,9,1,1,9,False
International Fund for Agricultural Development (IFAD),YE,4,2,1,1,2,False
International Hydrographic Organization (IHO),DO,4,1,1,1,2,False
International Hydrographic Organization (IHO),HC,15,13,1,1,13,False
International Hydrographic Organization (IHO),IIR,8,1,1,1,6,False
International Hydrographic Organization (IHO),SCL,4,2,1,1,2,False
International Hydrographic Organization (IHO),SJ,3,1,1,1,1,False
International Hydrographic Organization (IHO),SMJ,3,1,1,1,1,False
International Hydrographic Organization (IHO),STR,6,2,1,1,4,False
International Hydrographic Organization (IHO),SoJ,7,1,1,1,5,False
International Hydrographic Organization (IHO),VC,11,9,1,1,9,False
International Hydrographic Organization (IHO),YE,4,2,1,1,2,False
International Labour Organization (ILO),DO,5,2,1,1,3,False
International Labour Organization (ILO),HC,6,4,1,1,4,False
International Labour Organization (ILO),IIR,8,1,1,1,6,False
International Labour Organization (ILO),SCL,4,2,1,1,2,False
International Labour Organization (ILO),SJ,3,1,1,1,1,False
International Labour Organization (ILO),SMJ,3,1,1,1,1,False
International Labour Organization (ILO),STR,8,1,1,1,6,False
International Labour Organization (ILO),SoJ,8,2,1,1,6,False
International Labour Organization (ILO),VC,5,2,1,1,3,False
International Labour Organization (ILO),YE,4,2,1,1,2,False
International Monetary Fund (IMF),DO,4,1,1,1,2,False
International Monetary Fund (IMF),HC,15,13,1,1,13,False
International Monetary Fund (IMF),IIR,5,1,1,1,3,False
International Monetary Fund (IMF),SCL,4,2,1,1,2,False
International Monetary Fund (IMF),SJ,3,1,1,1,1,False
International Monetary Fund (IMF),SMJ,3,1,1,1,1,False
International Monetary Fund (IMF),STR,6,2,1,1,4,False
International Monetary Fund (IMF),SoJ,6,1,1,1,4,False
International Monetary Fund (IMF),VC,6,4,1,1,4,False
International Monetary Fund (IMF),YE,4,2,1,1,2,False
International Organization for Migration (IOM),DO,4,1,1,1,2,False
International Organization for Migration (IOM),HC,15,13,1,1,13,False
International Organization for Migration (IOM),IIR,7,1,1,1,5,False
International Organization for Migration (IOM),SCL,4,2,1,1,2,False
International Organization for Migration (IOM),SJ,3,1,1,1,1,False
International Organization for Migration (IOM),SMJ,3,1,1,1,1,False
International Organization for Migration (IOM),STR,8,2,1,1,6,False
International Organization for Migration (IOM),SoJ,9,2,1,1,7,False
International Organization for Migration (IOM),VC,7,5,1,1,5,False
International Organization for Migration (IOM),YE,4,2,1,1,2,False
International Seabed Authority,DO,4,1,1,1,2,False
International Seabed Authority,HC,6,4,1,1,4,False
International Seabed Authority,IIR,6,1,1,1,4,False
International Seabed Authority,SCL,4,2,1,1,2,False
International Seabed Authority,SJ,3,1,1,1,1,False
International Seabed Authority,SMJ,3,1,1,1,1,False
International Seabed Authority,STR,12,2,1,1,10,False
International Seabed Authority,SoJ,7,1,1,1,5,False
International Seabed Authority,VC,3,1,1,1,1,False
International Seabed Authority,YE,4,2,1,1,2,False
International Telecommunication Union (ITU),DO,4,1,1,1,2,False
International Telecommunication Union (ITU),HC,6,4,1,1,4,False
International Telecommunication Union (ITU),IIR,6,1,1,1,4,False
International Telecommunication Union (ITU),SCL,4,2,1,1,2,False
International Telecommunication Union (ITU),SJ,3,1,1,1,1,False
International Telecommunication Union (ITU),SMJ,3,1,1,1,1,False
International Telecommunication Union (ITU),STR,8,2,1,1,6,False
International Telecommunication Union (ITU),SoJ,8,2,1,1,6,False
International Telecommunication Union (ITU),VC,5,2,1,1,3,False
International Telecommunication Union (ITU),YE,4,2,1,1,2,False
International Trade Centre (ITC),DO,4,2,1,1,2,False
International Trade Centre (ITC),HC,13,11,1,1,11,False
International Trade Centre (ITC),IIR,4,1,1,1,2,False
International Trade Centre (ITC),SCL,4,2,1,1,2,False
International Trade Centre (ITC),SJ,3,1,1,1,1,False
International Trade Centre (ITC),SMJ,3,1,1,1,1,False
International Trade Centre (ITC),STR,9,1,1,1,7,False
International Trade Centre (ITC),SoJ,9,2,1,1,7,False
International Trade Centre (ITC),VC,6,4,1,1,4,False
International Trade Centre (ITC),YE,4,2,1,1,2,False
Minamata Convention on Mercury (Minamata),DO,5,1,1,1,3,False
Minamata Convention on Mercury (Minamata),HC,15,13,1,1,13,False
Minamata Convention on Mercury (Minamata),IIR,4,1,1,1,2,False
Minamata Convention on Mercury (Minamata),SCL,4,2,1,1,2,False
Minamata Convention on Mercury (Minamata),SJ,3,1,1,1,1,False
Minamata Convention on Mercury (Minamata),SMJ,3,1,1,1,1,False
Minamata Convention on Mercury (Minamata),STR,14,1,1,1,12,False
Minamata Convention on Mercury (Minamata),SoJ,8,1,1,1,6,False
Minamata Convention on Mercury (Minamata),VC,7,5,1,1,5,False
Minamata Convention on Mercury (Minamata),YE,4,2,1,1,2,False
Organisation for Economic Co-operation and Development (OECD),DO,5,1,1,1,3,False
Organisation for Economic Co-operation and Development (OECD),HC,16,14,1,1,14,False
Organisation for Economic Co-operation and Development (OECD),IIR,3,1,1,1,1,False
Organisation for Economic Co-operation and Development (OECD),SCL,4,2,1,1,2,False
Organisation for Economic Co-operation and Development (OECD),SJ,3,1,1,1,1,False
Organisation for Economic Co-operation and Development (OECD),SMJ,3,1,1,1,1,False
Organisation for Economic Co-operation and Development (OECD),STR,9,2,1,1,7,False
Organisation for Economic Co-operation and Development (OECD),SoJ,8,1,1,1,6,False
Organisation for Economic Co-operation and Development (OECD),VC,18,16,1,1,16,False
Organisation for Economic Co-operation and Development (OECD),YE,4,2,1,1,2,False
Ramsar Convention on Wetlands Secretariat (Ramsar),DO,4,1,1,1,2,False
Ramsar Convention on Wetlands Secretariat (Ramsar),HC,12,10,1,1,10,False
Ramsar Convention on Wetlands Secretariat (Ramsar),IIR,6,1,1,1,4,False
Ramsar Convention on Wetlands Secretariat (Ramsar),SCL,4,2,1,1,2,False
Ramsar Convention on Wetlands Secretariat (Ramsar),SJ,3,1,1,1,1,False
Ramsar Convention on Wetlands Secretariat (Ramsar),SMJ,3,1,1,1,1,False
Ramsar Convention on Wetlands Secretariat (Ramsar),STR,9,1,1,1,7,False
Ramsar Convention on Wetlands Secretariat (Ramsar),SoJ,7,1,1,1,5,False
Ramsar Convention on Wetlands Secretariat (Ramsar),VC,6,4,1,1,4,False
Ramsar Convention on Wetlands Secretariat (Ramsar),YE,4,2,1,1,2,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",DO,4,1,1,1,2,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",HC,12,9,1,1,10,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",IIR,8,1,1,1,6,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",SCL,4,2,1,1,2,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",SJ,3,1,1,1,1,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",SMJ,3,1,1,1,1,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",STR,9,1,1,1,7,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",SoJ,12,1,1,1,10,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",VC,6,3,1,1,4,False
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",YE,4,2,1,1,2,False
Secretariat of the Convention on Biological Diversity (CBD),DO,4,1,1,1,2,False
Secretariat of the Convention on Biological Diversity (CBD),HC,16,14,1,1,14,False
Secretariat of the Convention on Biological Diversity (CBD),IIR,10,1,1,1,8,False
Secretariat of the Convention on Biological Diversity (CBD),SCL,4,2,1,1,2,False
Secretariat of the Convention on Biological Diversity (CBD),SJ,3,1,1,1,1,False
Secretariat of the Convention on Biological Diversity (CBD),SMJ,3,1,1,1,1,False
Secretariat of the Convention on Biological Diversity (CBD),STR,14,2,1,1,12,False
Secretariat of the Convention on Biological Diversity (CBD),SoJ,11,1,1,1,9,False
Secretariat of the Convention on Biological Diversity (CBD),VC,9,7,1,1,7,False
Secretariat of the Convention on Biological Diversity (CBD),YE,4,2,1,1,2,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),DO,4,1,1,1,2,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),HC,18,15,1,1,16,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),IIR,5,1,1,1,3,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),SCL,4,2,1,1,2,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),SJ,3,1,1,1,1,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),SMJ,3,1,1,1,1,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),STR,9,1,1,1,7,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),SoJ,11,1,1,1,9,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),VC,7,5,1,1,5,False
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),YE,4,2,1,1,2,False
Secretariat of the Convention on Migratory Species (CMS),DO,4,1,1,1,2,False
Secretariat of the Convention on Migratory Species (CMS),HC,15,13,1,1,13,False
Secretariat of the Convention on Migratory Species (CMS),IIR,10,1,1,1,8,False
Secretariat of the Convention on Migratory Species (CMS),SCL,4,2,1,1,2,False
Secretariat of the Convention on Migratory Species (CMS),SJ,3,1,1,1,1,False
Secretariat of the Convention on Migratory Species (CMS),SMJ,3,1,1,1,1,False
Secretariat of the Convention on Migratory Species (CMS),STR,14,2,1,1,12,False
Secretariat of the Convention on Migratory Species (CMS),SoJ,9,1,1,1,7,False
Secretariat of the Convention on Migratory Species (CMS),VC,9,7,1,1,7,False
Secretariat of the Convention on Migratory Species (CMS),YE,4,2,1,1,2,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),DO,5,1,1,1,3,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),HC,15,12,1,1,13,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),IIR,5,1,1,1,3,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),SCL,4,2,1,1,2,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),SJ,3,1,1,1,1,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),SMJ,3,1,1,1,1,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),STR,9,1,1,1,7,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),SoJ,7,1,1,1,5,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),VC,5,3,1,1,3,False
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),YE,4,2,1,1,2,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),DO,4,2,1,1,2,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),HC,15,13,1,1,13,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),IIR,7,1,1,1,5,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),SCL,4,2,1,1,2,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),SJ,3,1,1,1,1,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),SMJ,3,1,1,1,1,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),STR,15,2,1,1,13,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),SoJ,14,2,1,1,12,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),VC,11,5,1,1,9,False
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),YE,4,2,1,1,2,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),DO,4,1,1,1,2,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),HC,10,8,1,1,8,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),IIR,9,1,1,1,7,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),SCL,4,2,1,1,2,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),SJ,3,1,1,1,1,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),SMJ,3,1,1,1,1,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),STR,11,2,1,1,9,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),SoJ,11,2,1,1,9,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),VC,6,4,1,1,4,False
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),YE,4,2,1,1,2,False
UN Global Compact Office,DO,5,2,1,1,3,False
UN Global Compact Office,HC,16,14,1,1,14,False
UN Global Compact Office,IIR,7,1,1,1,5,False
UN Global Compact Office,SCL,4,2,1,1,2,False
UN Global Compact Office,SJ,3,1,1,1,1,False
UN Global Compact Office,SMJ,3,1,1,1,1,False
UN Global Compact Office,STR,7,2,1,1,5,False
UN Global Compact Office,SoJ,11,1,1,1,9,False
UN Global Compact Office,VC,8,5,1,1,6,False
UN Global Compact Office,YE,4,2,1,1,2,False
UN Population Fund (UNFPA),DO,4,2,1,1,2,False
UN Population Fund (UNFPA),HC,15,13,1,1,13,False
UN Population Fund (UNFPA),IIR,5,1,1,1,3,False
UN Population Fund (UNFPA),SCL,4,2,1,1,2,False
UN Population Fund (UNFPA),SJ,3,1,1,1,1,False
UN Population Fund (UNFPA),SMJ,3,1,1,1,1,False
UN Population Fund (UNFPA),STR,9,2,1,1,7,False
UN Population Fund (UNFPA),SoJ,10,2,1,1,8,False
UN Population Fund (UNFPA),VC,9,7,1,1,7,False
UN Population Fund (UNFPA),YE,4,2,1,1,2,False
UN Research Institute for Social Development (UNRISD),DO,4,1,1,1,2,False
UN Research Institute for Social Development (UNRISD),HC,14,12,1,1,12,False
UN Research Institute for Social Development (UNRISD),IIR,9,1,1,1,7,False
UN Research Institute for Social Development (UNRISD),SCL,4,2,1,1,2,False
UN Research Institute for Social Development (UNRISD),SJ,3,1,1,1,1,False
UN Research Institute for Social Development (UNRISD),SMJ,3,1,1,1,1,False
UN Research Institute for Social Development (UNRISD),STR,9,2,1,1,7,False
UN Research Institute for Social Development (UNRISD),SoJ,8,1,1,1,6,False
UN Research Institute for Social Development (UNRISD),VC,6,4,1,1,4,False
UN Research Institute for Social Development (UNRISD),YE,4,2,1,1,2,False
United Nations Children’s Fund (UNICEF),DO,5,1,1,1,3,False
United Nations Children’s Fund (UNICEF),HC,17,15,1,1,15,False
United Nations Children’s Fund (UNICEF),IIR,8,1,1,1,6,False
United Nations Children’s Fund (UNICEF),SCL,4,2,1,1,2,False
United Nations Children’s Fund (UNICEF),SJ,3,1,1,1,1,False
United Nations Children’s Fund (UNICEF),SMJ,3,1,1,1,1,False
United Nations Children’s Fund (UNICEF),STR,11,1,1,1,9,False
United Nations Children’s Fund (UNICEF),SoJ,9,2,1,1,7,False
United Nations Children’s Fund (UNICEF),VC,8,6,1,1,6,False
United Nations Children’s Fund (UNICEF),YE,4,2,1,1,2,False
United Nations Conference on Trade and Development (UNCTAD),DO,4,2,1,1,2,False
United Nations Conference on Trade and Development (UNCTAD),HC,7,4,1,1,5,False
United Nations Conference on Trade and Development (UNCTAD),IIR,7,1,1,1,5,False
United Nations Conference on Trade and Development (UNCTAD),SCL,4,2,1,1,2,False
United Nations Conference on Trade and Development (UNCTAD),SJ,3,1,1,1,1,False
United Nations Conference on Trade and Development (UNCTAD),SMJ,3,1,1,1,1,False
United Nations Conference on Trade and Development (UNCTAD),STR,10,2,1,1,8,False
United Nations Conference on Trade and Development (UNCTAD),SoJ,7,2,1,1,5,False
United Nations Conference on Trade and Development (UNCTAD),VC,7,5,1,1,5,False
United Nations Conference on Trade and Development (UNCTAD),YE,4,2,1,1,2,False
United Nations Development Programme (UNDP),DO,5,2,1,1,3,False
United Nations Development Programme (UNDP),HC,16,14,1,1,14,False
United Nations Development Programme (UNDP),IIR,5,1,1,1,3,False
United Nations Development Programme (UNDP),SCL,4,2,1,1,2,False
United Nations Development Programme (UNDP),SJ,3,1,1,1,1,False
United Nations Development Programme (UNDP),SMJ,3,1,1,1,1,False
United Nations Development Programme (UNDP),STR,8,1,1,1,6,False
United Nations Development Programme (UNDP),SoJ,7,2,1,1,5,False
United Nations Development Programme (UNDP),VC,8,6,1,1,6,False
United Nations Development Programme (UNDP),YE,4,2,1,1,2,False
United Nations Environment Programme (UNEP),DO,6,2,1,1,4,False
United Nations Environment Programme (UNEP),HC,6,4,1,1,4,False
United Nations Environment Programme (UNEP),IIR,6,1,1,1,4,False
United Nations Environment Programme (UNEP),SCL,4,2,1,1,2,False
United Nations Environment Programme (UNEP),SJ,3,1,1,1,1,False
United Nations Environment Programme (UNEP),SMJ,3,1,1,1,1,False
United Nations Environment Programme (UNEP),STR,8,2,1,1,6,False
United Nations Environment Programme (UNEP),SoJ,7,2,1,1,5,False
United Nations Environment Programme (UNEP),VC,4,1,1,1,2,False
United Nations Environment Programme (UNEP),YE,4,2,1,1,2,False
United Nations Human Settlements Programme (UN-Habitat),DO,4,2,1,1,2,False
United Nations Human Settlements Programme (UN-Habitat),HC,15,12,1,1,13,False
United Nations Human Settlements Programme (UN-Habitat),IIR,10,1,1,1,8,False
United Nations Human Settlements Programme (UN-Habitat),SCL,4,2,1,1,2,False
United Nations Human Settlements Programme (UN-Habitat),SJ,3,1,1,1,1,False
United Nations Human Settlements Programme (UN-Habitat),SMJ,3,1,1,1,1,False
United Nations Human Settlements Programme (UN-Habitat),STR,5,2,1,1,3,False
United Nations Human Settlements Programme (UN-Habitat),SoJ,15,2,1,1,13,False
United Nations Human Settlements Programme (UN-Habitat),VC,10,8,1,1,8,False
United Nations Human Settlements Programme (UN-Habitat),YE,4,2,1,1,2,False
"United Nations Industrial Development Organization (UNIDO),",DO,4,1,1,1,2,False
"United Nations Industrial Development Organization (UNIDO),",HC,5,3,1,1,3,False
"United Nations Industrial Development Organization (UNIDO),",IIR,8,1,1,1,6,False
"United Nations Industrial Development Organization (UNIDO),",SCL,4,2,1,1,2,False
"United Nations Industrial Development Organization (UNIDO),",SJ,3,1,1,1,1,False
"United Nations Industrial Development Organization (UNIDO),",SMJ,3,1,1,1,1,False
"United Nations Industrial Development Organization (UNIDO),",STR,9,2,1,1,7,False
"United Nations Industrial Development Organization (UNIDO),",SoJ,7,1,1,1,5,False
"United Nations Industrial Development Organization (UNIDO),",VC,6,4,1,1,4,False
"United Nations Industrial Development Organization (UNIDO),",YE,4,2,1,1,2,False
United Nations Office for Disaster Risk Reduction (UNDRR),DO,5,1,1,1,3,False
United Nations Office for Disaster Risk Reduction (UNDRR),HC,16,13,1,1,14,False
United Nations Office for Disaster Risk Reduction (UNDRR),IIR,5,1,1,1,3,False
United Nations Office for Disaster Risk Reduction (UNDRR),SCL,4,2,1,1,2,False
United Nations Office for Disaster Risk Reduction (UNDRR),SJ,3,1,1,1,1,False
United Nations Office for Disaster Risk Reduction (UNDRR),SMJ,3,1,1,1,1,False
United Nations Office for Disaster Risk Reduction (UNDRR),STR,9,1,1,1,7,False
United Nations Office for Disaster Risk Reduction (UNDRR),SoJ,8,2,1,1,6,False
United Nations Office for Disaster Risk Reduction (UNDRR),VC,11,9,1,1,9,False
United Nations Office for Disaster Risk Reduction (UNDRR),YE,4,2,1,1,2,False
United Nations Office for Outer Space Affairs (UNOOSA),DO,4,2,1,1,2,False
United Nations Office for Outer Space Affairs (UNOOSA),HC,17,15,1,1,15,False
United Nations Office for Outer Space Affairs (UNOOSA),IIR,7,1,1,1,5,False
United Nations Office for Outer Space Affairs (UNOOSA),SCL,4,2,1,1,2,False
United Nations Office for Outer Space Affairs (UNOOSA),SJ,3,1,1,1,1,False
United Nations Office for Outer Space Affairs (UNOOSA),SMJ,3,1,1,1,1,False
United Nations Office for Outer Space Affairs (UNOOSA),STR,7,2,1,1,5,False
