filename,meta_title,meta_author,title_guess,author_guess,doi_guess,doc_id,is_pilot,title_for_citation,authors_for_citation,doi_for_citation,title_clean,title_guess_ok,citation_note
Global governance as international organization.pdf,,,palgrave advances in global governance,,,e1a09b05cf,False,Global governance as international organization,,,Global governance as international organization,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
"Globalization_ environmental movements, and international political opportunity structures.pdf","GLOBALIZATION, ENVIRONMENTAL MOVEMENTS, AND INTERNATIONAL POLITICAL OPPORTUNITY STRUCTURES",,"GLOBALIZATION, ENVIRONMENTAL MOVEMENTS, AND INTERNATIONAL POLITICAL","Source: Organization & Environment , March 2006, Vol. 19, No. 1 (March 2006), pp. 28-45",10.1177/1086026605285452,eb2433c731,False,"Globalization environmental movements, and international political opportunity structures",,10.1177/1086026605285452,"Globalization environmental movements, and international political opportunity structures",True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Greening the United Nations charter_World politics in the anthropocene.pdf,Greening the United Nations Charter. World Politics in the Anthropocene,Frank Biermann,World Politics in the Anthropocene,"This paper can be cited as: Biermann, Frank. 2012. Greening the United Nations",,173fe6145a,False,Greening the United Nations charter World politics in the anthropocene,,,Greening the United Nations charter World politics in the anthropocene,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Institutions for the earth_ sources of effective international environmental protection.pdf,Institutions for the Earth.,,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/233089760",Article  in  Environment: Science and Policy For Sustainable Development · May 1992,10.1080/00139157.1992.9932558,827ab90f74,False,Institutions for the earth sources of effective international environmental protection,,10.1080/00139157.1992.9932558,Institutions for the earth sources of effective international environmental protection,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
International Organizations- The Politics and Processes of Global Governance.pdf,,,"1800 30th Street, Suite 314","Boulder, CO  80301  USA",,dfb6e3c19e,False,International Organizations- The Politics and Processes of Global Governance,,,International Organizations- The Politics and Processes of Global Governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
International organizations_perspectives on global governance.pdf,,,"Drawing on mainstream and critical theoretical approaches, International",organizations in world politics. This text details the types and activities of,,986c49524e,False,International organizations perspectives on global governance,,,International organizations perspectives on global governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
International regulation without international government- Improving IO performance through orchestration_Abott&Snidar.pdf,,,Kenneth W. Abbott & Duncan Snidal,"# Springer Science+Business Media, LLC 2010",10.1007/s11558-010-9092-3,cfbb3fc78b,False,International regulation without international government- Improving IO performance through orchestration Abott&Snidar,,10.1007/s11558-010-9092-3,International regulation without international government- Improving IO performance through orchestration Abott&Snidar,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Learning in International Organizations in Global Environmental Governance_Bernd Siebenhüne.pdf,untitled,,Learning in International Organizations in Global Environmental Governance,,,1e86f5070e,False,Learning in International Organizations in Global Environmental Governance Bernd Siebenhüne,,,Learning in International Organizations in Global Environmental Governance Bernd Siebenhüne,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Moving forward by looking back_Learning from UNEP’s history.pdf,book_complete_2.pdf,User,MOVING FORWARD BY LOOKING BACK:,"With a growing recognition that global problems demand global solutions,",,9593995746,False,Moving forward by looking back Learning from UNEP’s history,,,Moving forward by looking back Learning from UNEP’s history,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Network Governance for Collective Action in Implementing United Nations Sustainable Development Goals.pdf,Network Governance for Collective Action in Implementing United Nations Sustainable Development Goals,Naim Kapucu and Sean Beaudet,Network Governance for Collective Action in,"Naim Kapucu 1,*",10.3390/admsci10040100,64393b43a1,False,Network Governance for Collective Action in Implementing United Nations Sustainable Development Goals,,10.3390/admsci10040100,Network Governance for Collective Action in Implementing United Nations Sustainable Development Goals,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
New Alliances in Global Environmental Governance_ Hw intergovernmental treaty secretariat interact.pdf,,,Int Environ Agreements (2020) 20:459–481,,10.1007/s10784-020-09493-5,ceb0791c57,False,New Alliances in Global Environmental Governance Hw intergovernmental treaty secretariat interact,,10.1007/s10784-020-09493-5,New Alliances in Global Environmental Governance Hw intergovernmental treaty secretariat interact,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
New coalitions for global governance- the changing dynamics of multilateralism.pdf,New Coalitions for Global Governance: The Changing Dynamics of Multilateralism,,New Coalitions for Global Governance: The Changing Dynamics of Multilateralism,Author(s): Shepard Forman and Derk Segaar,,23cb5ae15c,False,New coalitions for global governance- the changing dynamics of multilateralism,,,New coalitions for global governance- the changing dynamics of multilateralism,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
On transnational actor participation in global environmental governance.pdf,printed_by_G5_2013.indd,gramcw,T R A N S N A T I O N A L,,,8602f9290a,False,On transnational actor participation in global environmental governance,,,On transnational actor participation in global environmental governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Orchestration_Global governance through intermediaries.pdf,Microsoft Word - Framework paper 8-6-12.docx,Kenneth Abbott,Electronic copy available at: http://ssrn.com/abstract=2125452,"Kenneth W. Abbott, Arizona State University",,3894bde398,False,Orchestration Global governance through intermediaries,,,Orchestration Global governance through intermediaries,False,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Organizational Progeny. Why Governments are Losing Control over the Proliferating Structures of Global Governance.pdf,,,Tana Johnson. Organizational Progeny. Why Governments are Losing Control,"University Press, 2014. Pp. 284. £25. ISBN: 9780198717799.",,e3f685463c,False,Organizational Progeny. Why Governments are Losing Control over the Proliferating Structures of Global Governance,,,Organizational Progeny. Why Governments are Losing Control over the Proliferating Structures of Global Governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Pluralising global governance  Analytical approaches and dimensions.pdf,Pluralising global governance: Analytical approaches and dimensions,,ISSN: 0143-6597 (Print) 1360-2241 (Online) Journal homepage: www.tandfonline.com/journals/ctwq20,approaches and dimensions,10.1080/01436599550035951,036da53213,False,Pluralising global governance Analytical approaches and dimensions,,10.1080/01436599550035951,Pluralising global governance Analytical approaches and dimensions,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Post-Treaty Politics_Secretariat Influence in Global Environmental Governance.pdf,9467_000.indd,elinor,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/264481244",,10.7551/mitpress/9780262028042.001.0001,0359770c14,False,Post-Treaty Politics Secretariat Influence in Global Environmental Governance,,10.7551/mitpress/9780262028042.001.0001,Post-Treaty Politics Secretariat Influence in Global Environmental Governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
REFORMING GLOBAL ENVIRONMENTAL GOVERNANCE- FROM UNEP TOWARDS A WORLD ENVIRONMENT ORGANIZATION_Biermann.pdf,book_complete_2.pdf,User,FROM UNEP TOWARDS A WORLD ENVIRONMENT ORGANIZATION,,,173edd6860,False,REFORMING GLOBAL ENVIRONMENTAL GOVERNANCE- FROM UNEP TOWARDS A WORLD ENVIRONMENT ORGANIZATION Biermann,,,REFORMING GLOBAL ENVIRONMENTAL GOVERNANCE- FROM UNEP TOWARDS A WORLD ENVIRONMENT ORGANIZATION Biermann,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Relations Between International Organisations_.pdf,someTitle,someAuthor,"R. Biermann, J.A. Koops (eds.), Palgrave Handbook of Inter-Organizational","Relations in World Politics, DOI 10.1057/978-1-137-36039-7_31",10.1057/978-1-137-36039-7_31,7a8a846a0e,False,Relations Between International Organisations,,10.1057/978-1-137-36039-7_31,Relations Between International Organisations,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Rethinking international environmental regimes_what role for partnership coalitions.pdf,Contents,Ioana Bala,What Role for Partnership Coalitions?,,,107a051e71,False,Rethinking international environmental regimes what role for partnership coalitions,,,Rethinking international environmental regimes what role for partnership coalitions,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Taking responsive regulation transnational_Strategies for international organizations.pdf,Taking responsive regulation transnational: Strategies for international organizations,,"College of Law, Arizona State University, Tempe, AZ, USA","Nufﬁeld College, University of Oxford, Oxford, UK",10.1111/j.1748-5991.2012.01167.x,3c5f5bae52,False,Taking responsive regulation transnational Strategies for international organizations,,10.1111/j.1748-5991.2012.01167.x,Taking responsive regulation transnational Strategies for international organizations,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The Emergent &#x22;System&#x22; of Global Environmental Governance.pdf,988-GLEP4-4.vp,joed,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/24089848",,10.1162/glep.2004.4.4.23,633441fa5c,False,The Emergent &#x22;System&#x22; of Global Environmental Governance,,10.1162/glep.2004.4.4.23,The Emergent &#x22;System&#x22; of Global Environmental Governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The New United Nations_International Organization in the Twenty-First Century.pdf,,,"With a fresh look at challenges to the UN in Syria, Iran, Russia, and elsewhere, the second edition of","this successful text highlights new international trends toward global governance, holistic democracy and",,8778ba9e5b,False,The New United Nations International Organization in the Twenty-First Century,,,The New United Nations International Organization in the Twenty-First Century,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The Politics of International Environmental Management.pdf,,,THE POLITICS OF INTERNATIONAL ENVIRONMENTAL MANAGEMENT,"This series arises from the work of the ESF Scientific Programme on Environment, Science",,e11d4d2c26,False,The Politics of International Environmental Management,,,The Politics of International Environmental Management,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The Quest for a United Nations Specialised Agency for the Environment.pdf,The Quest for a United Nations Specialised Agency for the Environment,,The Commonwealth Journal of International Aﬀairs,,10.1080/00358533.2012.661528,098b9c5a90,False,The Quest for a United Nations Specialised Agency for the Environment,,10.1080/00358533.2012.661528,The Quest for a United Nations Specialised Agency for the Environment,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The United Nations Framework Convention on Climate Change Secretariat as an orchestrator in global climate policymaking.pdf,The United Nations Framework Convention on Climate Change Secretariat as an orchestrator in global climate policymaking,"Thomas Hickmann, Oscar Widerberg, Markus Lederer, and Philipp Pattberg",The United Nations Framework Convention on Climate Change Secretariat as an,"Hickmann, T.; Widerberg, O.E.; Lederer, Markus; Pattberg, P.H.",10.1177/0020852319840425,c05f5a190c,False,The United Nations Framework Convention on Climate Change Secretariat as an orchestrator in global climate policymaking,,10.1177/0020852319840425,The United Nations Framework Convention on Climate Change Secretariat as an orchestrator in global climate policymaking,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The United Nations and Business_Towards New Modes of Global Governance&#x3f;.pdf,The United Nations and Business: Towards New Modes of Global Governance?,,The place of business in the United Nations has,"always been somewhat ambiguous. To be sure, the",10.1111/1759-5436.12143,983b9a8cab,False,The United Nations and Business Towards New Modes of Global Governance&#x3f;,,10.1111/1759-5436.12143,The United Nations and Business Towards New Modes of Global Governance&#x3f;,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The United Nations and Global Environmental Governance_Rajeesh Kumar2020.pdf,The United Nations and Global Environmental Governance,Rajeesh Kumar,ISSN: (Print) (Online) Journal homepage: www.tandfonline.com/journals/rsan20,The United Nations and Global Environmental,10.1080/09700161.2020.1824462,df399f5d19,False,The United Nations and Global Environmental Governance Rajeesh Kumar2020,,10.1080/09700161.2020.1824462,The United Nations and Global Environmental Governance Rajeesh Kumar2020,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The United Nations in the 21st Century.pdf,Document,,"Reviewed Work(s): THE UNITED NATIONS IN THE 21ST CENTURY, FOURTH EDITION by",Karen A. Mingst and Margaret P. Karns,,74d3059c72,False,The United Nations in the 21st Century,,,The United Nations in the 21st Century,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The accountability of international organizations.pdf,Microsoft Word - IO_Acct_Burall_05012005.doc,Jan Martin Witte,,,,8aee1f46c6,False,The accountability of international organizations,,,The accountability of international organizations,False,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The complexification of the United Nations system.pdf,128401.pdf,,The Complexification of the United Nations,Simple and Complex Subsidiary Organs and Quasi-Autonomous Bodies,,f4fb5be742,False,The complexification of the United Nations system,,,The complexification of the United Nations system,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The global governance of international development- Documenting the rise of multi-stakeholder partnerships and identifying underlying theoretical explanations.pdf,,Bernhard Reinsberg,"Reinsberg, B. and Westerwinter, O. (2019) The global governance of international",development: documenting the rise of multi-stakeholder partnerships and identifying,10.1007/s11558-019-09362-0,ac0b06b334,False,The global governance of international development- Documenting the rise of multi-stakeholder partnerships and identifying underlying theoretical explanations,,10.1007/s11558-019-09362-0,The global governance of international development- Documenting the rise of multi-stakeholder partnerships and identifying underlying theoretical explanations,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The globalisation of environmental law- the role of the United Nations.pdf,imageREAL Capture,imageREAL Capture,THE GLOBALISATION OF ENVIRONMENTAL LAW:,"twenty years, focussing on the moves towards recognition ofthe connection between environmental",,34ae127a5b,False,The globalisation of environmental law- the role of the United Nations,,,The globalisation of environmental law- the role of the United Nations,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The impact of the Sustainable Development Goals on a network of 276 international organizations.pdf,The impact of the Sustainable Development Goals on a network of 276 international organizations,Maya Bogers,Global Environmental Change 76 (2022) 102567,"Maya Bogers a,*, Frank Biermann a, Agni Kalfagianni a, Rakhyun E. Kim a, Jelle Treep b,",10.1016/j.gloenvcha.2022.102567,aa2793216a,False,The impact of the Sustainable Development Goals on a network of 276 international organizations,,10.1016/j.gloenvcha.2022.102567,The impact of the Sustainable Development Goals on a network of 276 international organizations,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The institutional design of funding rules at inernational organisations_Explaining the transformation in financing the UN.pdf,The institutional design of funding rules at international organizations: Explaining the transformation in financing the United Nations,,What explains the design and development of funding rules at international,"organizations? I investigate this question in the context of the United Nations system,",10.1177/1354066116648755,ec74c59152,False,The institutional design of funding rules at inernational organisations Explaining the transformation in financing the UN,,10.1177/1354066116648755,The institutional design of funding rules at inernational organisations Explaining the transformation in financing the UN,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
The two faces of the United Nations- The tension between intergovernmentalism and transnationalism_Bruce  .pdf,The Two Faces of the United Nations: The Tension Between Intergovernmentalism and Transnationalism,,The Two Faces of the United Nations: The Tension Between Intergovernmentalism and,"Source: Global Governance , Jan.–Mar. 2002, Vol. 8, No. 1 (Jan.–Mar. 2002), pp. 53-71",,cdf4e3d28d,False,The two faces of the United Nations- The tension between intergovernmentalism and transnationalism Bruce,,,The two faces of the United Nations- The tension between intergovernmentalism and transnationalism Bruce,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Theorising Global Environmental Governance_ Key Findings and Future Questions.pdf,Theorising Global Environmental Governance: Key Findings and Future Questions,Philipp Pattberg and Oscar Widerberg,"Institute for Environmental Studies, VU University Amsterdam, The Netherlands","Institute for Environmental Studies, VU University Amsterdam, The Netherlands",10.1177/0305829814561773,5ac0de18b9,False,Theorising Global Environmental Governance Key Findings and Future Questions,,10.1177/0305829814561773,Theorising Global Environmental Governance Key Findings and Future Questions,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
